灭火器把手,2.84,0.69,0.5
油箱顶部,2.86,0.42,0.25
墙壁电源,2.44,2.57,0.97
焊机电源,1.45,2.1,0.39
电压电流旋钮,1.56,1.5,0.37
接地夹下端,3.02,1.53,1.61
焊把钳下端,3.02,1.15,1.56
锤子,0.24,0.17,0
待焊钢板,0.81,0.46,0
面罩把手,0.24,0.83,0

比值方法的门限设置
            "灭火器把手": {"position": (2.84, 0.69, 0.5), "threshold": 0.2},--------------------->0.25
            "油箱顶部": {"position": (2.86, 0.42, 0.25), "threshold": 0.3},---------->0.35
            "墙壁电源": {"position": (2.44, 2.57, 0.97), "threshold": 0.2},-------------------------------------------------------------->0.25
            "焊机电源": {"position": (1.45, 2.1, 0.39), "threshold": 0.4},----------->0.5
            "电压电流旋钮": {"position": (1.56, 1.5, 0.37), "threshold": 0.5},
            "接地夹下端": {"position": (3.02, 1.53, 1.61), "threshold": 0.35},----------------------------------------------------------->0.5
            "焊把钳下端": {"position": (3.02, 1.15, 1.56), "threshold": 0.35},------>0.4------------------------------------------------>0.5
            "锤子": {"position": (0.24, 0.17, 0), "threshold": 0.3},---------------------------------------------------->0.6
            "待焊钢板": {"position": (0.81, 0.46, 0), "threshold": 0.2},
            "面罩把手": {"position": (0.24, 0.83, 0), "threshold": 0.45},
            "钢刷": {"position": (0.24, 0.46, 0), "threshold": 0.3}---------------------------------------------------------------------->0.4
